Chinese (Simpl.),Pinyin,English
趟,tàng,(classifier) trip; time; round trip; row; (tāng) to wade
讨论,tǎolùn,to discuss; to talk over
讨厌,tǎoyàn,to dislike; to loathe; disagreeable; troublesome
特点,tèdiǎn,characteristic (feature); trait; feature
提供,tígōng,to offer; to supply; to provide; to furnish
提前,tíqián,to shift to an earlier date; to do sth ahead of time; in advance
提醒,tíxǐng,to remind; to call attention to; to warn of
填空,tiánkòng,to fill a job vacancy; to fill in a blank (e.g. on questionnaire or exam paper)
条件,tiáojiàn,condition; circumstance; term; factor
停止,tíngzhǐ,to stop; to halt; to cease
挺,tǐng,quite; rather; straight; to straighten
通过,tōngguò,to pass through; to get through; to adopt (a resolution); to pass (legislation)
通知,tōngzhī,to notify; to inform; notice; notification
同情,tóngqíng,to sympathize with; sympathy
推,tuī,to push; to cut; to refuse; to reject
推迟,tuīchí,to postpone; to put off; to defer
脱,tuō,to shed; to take off; to escape; to get away from
袜子,wàzi,socks; stockings
完全,wánquán,complete; whole; totally; entirely
网球,wǎngqiú,tennis; tennis ball
网站,wǎngzhàn,website; network station; node
往,wǎng,to go (in a direction); to; towards; (of a train) bound for
往往,wǎngwǎng,usually; in many cases; more often than not
危险,wēixiǎn,danger; dangerous
味道,wèidao,flavor; taste; (fig.) feeling (of ...); sense (of ...)
温度,wēndù,temperature
文章,wénzhāng,article; essay; literary works; writings
握手,wòshǒu,to shake hands
污染,wūrǎn,to pollute; to contaminate (lit. and fig.)
无,wú,not to have; no; none; not
无聊,wúliáo,bored; boring; senseless
无论,wúlùn,no matter what or how; regardless of whether...
误会,wùhuì,to misunderstand; to mistake; misunderstanding
吸引,xīyǐn,to attract; to appeal to; to fascinate
洗衣机,xǐyījī,washing machine; washer
西红柿,xīhóngshì,tomato
咸,xián,salty
现代,xiàndài,modern times; modern age; contemporary
限制,xiànzhì,to restrict; to limit; to confine; restriction
羡慕,xiànmù,to envy; to admire
相反,xiāngfǎn,opposite; contrary
香,xiāng,fragrant; sweet smelling; aromatic; savory or appetizing
详细,xiángxì,detailed; in detail; minute
响,xiǎng,to sound; to ring; loud; noise
消息,xiāoxi,news; information
小说,xiǎoshuō,novel; fiction
效果,xiàoguǒ,result; effect; efficacy; (theater) sound or visual effects
笑话,xiàohua,joke; jest; to laugh at; to mock
心情,xīnqíng,mood; frame of mind
辛苦,xīnkǔ,exhausting; hard; tough; arduous
信任,xìnrèn,to trust; to have confidence in
信心,xìnxīn,confidence; faith (in sb or sth)
信用卡,xìnyòngkǎ,credit card
行,xíng,OK; all right; to walk; to go; capable
醒,xǐng,to wake up; to be awake; to become aware; to sober up
兴奋,xīngfèn,excited; excitement; (physiology) excitation
幸福,xìngfú,happiness; happy; blessed
性别,xìngbié,gender; sex
性格,xìnggé,nature; disposition; temperament; character
修,xiū,to repair; to fix; to build
许多,xǔduō,many; a lot of; much
血,xuè,blood; colloquial pr. [xiě]
压力,yālì,pressure
牙膏,yágāo,toothpaste
